id,fips,date,newcase,newdeath
10551,12105,5/26/2020,13,1
10552,12105,5/27/2020,16,4
10553,12105,5/28/2020,32,0
10554,12105,5/29/2020,38,1
10555,12105,5/30/2020,28,0
10556,12105,5/31/2020,22,0
10557,12105,6/1/2020,11,2
10558,12105,6/2/2020,15,1
10559,12105,6/3/2020,21,2
10560,12105,6/4/2020,26,3
10561,12105,6/5/2020,27,1
10562,12105,6/6/2020,18,2
10563,12105,6/7/2020,33,1
10564,12105,6/8/2020,28,0
10565,12111,1/22/2020,,
10566,12111,1/23/2020,0,0
10567,12111,1/24/2020,0,0
10568,12111,1/25/2020,0,0
10569,12111,1/26/2020,0,0
10570,12111,1/27/2020,0,0
10571,12111,1/28/2020,0,0
10572,12111,1/29/2020,0,0
10573,12111,1/30/2020,0,0
10574,12111,1/31/2020,0,0
10575,12111,2/1/2020,0,0
10576,12111,2/2/2020,0,0
10577,12111,2/3/2020,0,0
10578,12111,2/4/2020,0,0
10579,12111,2/5/2020,0,0
10580,12111,2/6/2020,0,0
10581,12111,2/7/2020,0,0
10582,12111,2/8/2020,0,0
10583,12111,2/9/2020,0,0
10584,12111,2/10/2020,0,0
10585,12111,2/11/2020,0,0
10586,12111,2/12/2020,0,0
10587,12111,2/13/2020,0,0
10588,12111,2/14/2020,0,0
10589,12111,2/15/2020,0,0
10590,12111,2/16/2020,0,0
10591,12111,2/17/2020,0,0
10592,12111,2/18/2020,0,0
10593,12111,2/19/2020,0,0
10594,12111,2/20/2020,0,0
10595,12111,2/21/2020,0,0
10596,12111,2/22/2020,0,0
10597,12111,2/23/2020,0,0
10598,12111,2/24/2020,0,0
10599,12111,2/25/2020,0,0
10600,12111,2/26/2020,0,0
10601,12111,2/27/2020,0,0
10602,12111,2/28/2020,0,0
10603,12111,2/29/2020,0,0
10604,12111,3/1/2020,0,0
10605,12111,3/2/2020,0,0
10606,12111,3/3/2020,0,0
10607,12111,3/4/2020,0,0
10608,12111,3/5/2020,0,0
10609,12111,3/6/2020,0,0
10610,12111,3/7/2020,0,0
10611,12111,3/8/2020,0,0
10612,12111,3/9/2020,0,0
10613,12111,3/10/2020,0,0
10614,12111,3/11/2020,1,0
10615,12111,3/12/2020,0,0
10616,12111,3/13/2020,-1,0
10617,12111,3/14/2020,0,0
10618,12111,3/15/2020,0,0
10619,12111,3/16/2020,0,0
10620,12111,3/17/2020,0,0
10621,12111,3/18/2020,0,0
10622,12111,3/19/2020,0,0
10623,12111,3/20/2020,1,0
10624,12111,3/21/2020,0,0
10625,12111,3/22/2020,2,0
10626,12111,3/23/2020,2,0
10627,12111,3/24/2020,1,0
10628,12111,3/25/2020,3,0
10629,12111,3/26/2020,2,0
10630,12111,3/27/2020,6,1
10631,12111,3/28/2020,5,1
10632,12111,3/29/2020,2,0
10633,12111,3/30/2020,7,0
10634,12111,3/31/2020,7,0
10635,12111,4/1/2020,9,0
10636,12111,4/2/2020,1,1
10637,12111,4/3/2020,12,0
10638,12111,4/4/2020,16,0
10639,12111,4/5/2020,6,0
10640,12111,4/6/2020,25,2
10641,12111,4/7/2020,15,1
10642,12111,4/8/2020,7,0
10643,12111,4/9/2020,8,0
10644,12111,4/10/2020,9,0
10645,12111,4/11/2020,3,0
10646,12111,4/12/2020,3,0
10647,12111,4/13/2020,9,0
10648,12111,4/14/2020,4,2
10649,12111,4/15/2020,7,0
10650,12111,4/16/2020,14,1
10651,12111,4/17/2020,5,2
10652,12111,4/18/2020,5,2
10653,12111,4/19/2020,6,2
10654,12111,4/20/2020,2,0
10655,12111,4/21/2020,2,1
10656,12111,4/22/2020,7,0
10657,12111,4/23/2020,7,1
10658,12111,4/24/2020,3,2
10659,12111,4/25/2020,2,0
10660,12111,4/26/2020,3,0
10661,12111,4/27/2020,8,1
10662,12111,4/28/2020,3,2
10663,12111,4/29/2020,0,0
10664,12111,4/30/2020,8,0
10665,12111,5/1/2020,2,1
10666,12111,5/2/2020,5,1
10667,12111,5/3/2020,3,0
10668,12111,5/4/2020,2,1
10669,12111,5/5/2020,0,0
10670,12111,5/6/2020,6,0
10671,12111,5/7/2020,6,0
10672,12111,5/8/2020,4,0
10673,12111,5/9/2020,5,0
10674,12111,5/10/2020,2,0
10675,12111,5/11/2020,2,0
10676,12111,5/12/2020,6,1
10677,12111,5/13/2020,9,0
10678,12111,5/14/2020,2,0
10679,12111,5/15/2020,12,1
10680,12111,5/16/2020,3,0
10681,12111,5/17/2020,7,0
10682,12111,5/18/2020,11,0
10683,12111,5/19/2020,2,1
10684,12111,5/20/2020,0,0
10685,12111,5/21/2020,13,0
10686,12111,5/22/2020,14,0
10687,12111,5/23/2020,23,0
10688,12111,5/24/2020,5,0
10689,12111,5/25/2020,13,1
10690,12111,5/26/2020,9,0
10691,12111,5/27/2020,7,0
10692,12111,5/28/2020,4,1
10693,12111,5/29/2020,25,0
10694,12111,5/30/2020,14,0
10695,12111,5/31/2020,8,0
10696,12111,6/1/2020,2,0
10697,12111,6/2/2020,19,1
10698,12111,6/3/2020,16,0
10699,12111,6/4/2020,27,0
10700,12111,6/5/2020,26,0
10701,12111,6/6/2020,46,0
10702,12111,6/7/2020,20,0
10703,12111,6/8/2020,27,0
10704,12115,1/22/2020,,
10705,12115,1/23/2020,0,0
10706,12115,1/24/2020,0,0
10707,12115,1/25/2020,0,0
10708,12115,1/26/2020,0,0
10709,12115,1/27/2020,0,0
10710,12115,1/28/2020,0,0
10711,12115,1/29/2020,0,0
10712,12115,1/30/2020,0,0
10713,12115,1/31/2020,0,0
10714,12115,2/1/2020,0,0
10715,12115,2/2/2020,0,0
10716,12115,2/3/2020,0,0
10717,12115,2/4/2020,0,0
10718,12115,2/5/2020,0,0
10719,12115,2/6/2020,0,0
10720,12115,2/7/2020,0,0
10721,12115,2/8/2020,0,0
10722,12115,2/9/2020,0,0
10723,12115,2/10/2020,0,0
10724,12115,2/11/2020,0,0
10725,12115,2/12/2020,0,0
10726,12115,2/13/2020,0,0
10727,12115,2/14/2020,0,0
10728,12115,2/15/2020,0,0
10729,12115,2/16/2020,0,0
10730,12115,2/17/2020,0,0
10731,12115,2/18/2020,0,0
10732,12115,2/19/2020,0,0
10733,12115,2/20/2020,0,0
10734,12115,2/21/2020,0,0
10735,12115,2/22/2020,0,0
10736,12115,2/23/2020,0,0
10737,12115,2/24/2020,0,0
10738,12115,2/25/2020,0,0
10739,12115,2/26/2020,0,0
10740,12115,2/27/2020,0,0
10741,12115,2/28/2020,0,0
10742,12115,2/29/2020,0,0
10743,12115,3/1/2020,0,0
10744,12115,3/2/2020,0,0
10745,12115,3/3/2020,0,0
10746,12115,3/4/2020,0,0
10747,12115,3/5/2020,0,0
10748,12115,3/6/2020,0,0
10749,12115,3/7/2020,0,0
10750,12115,3/8/2020,0,0
10751,12115,3/9/2020,0,0
10752,12115,3/10/2020,0,0
10753,12115,3/11/2020,1,0
10754,12115,3/12/2020,0,0
10755,12115,3/13/2020,0,0
10756,12115,3/14/2020,0,0
10757,12115,3/15/2020,0,0
10758,12115,3/16/2020,2,0
10759,12115,3/17/2020,1,0
10760,12115,3/18/2020,0,0
10761,12115,3/19/2020,2,0
10762,12115,3/20/2020,4,0
10763,12115,3/21/2020,4,0
10764,12115,3/22/2020,3,0
10765,12115,3/23/2020,4,0
10766,12115,3/24/2020,5,0
